CollegeState,Specialization,GraduationYear,Salary,College
Delhi,instrumentation and control engineering,2013,445000,IIT delhi
Delhi,computer science & engineering,2013,420000,VIT vellore
Delhi,computer science & engineering,2013,200000,Ahemedabad IT
Delhi,computer science & engineering,2013,375000,University college of ENGG
Delhi,computer science & engineering,2013,350000,SRMIST chennai
Delhi,electronics and communication engineering,2014,340000,Manipal IT
Delhi,electronics and communication engineering,2014,325000,IIT hydrabad
Delhi,information technology,2012,450000,VIT vellore
Delhi,electronics and communication engineering,2014,330000,Ahemedabad IT
Delhi,information technology,2010,600000,IIT jodhpur
Delhi,computer science & engineering,2014,350000,BMS college of ENGG
Delhi,information technology,2013,410000,IIT bhilai
Delhi,computer engineering,2012,150000,MNIT jaipur
Delhi,computer application,2013,210000,IIT palakkad
Delhi,electronics and communication engineering,2013,500000,IIT tirupati
Delhi,electronics and communication engineering,2014,325000,KLEF hydrabad
Delhi,information technology,2013,380000,VIT vellore
Delhi,electronics and communication engineering,2014,325000,Ahemedabad IT
Delhi,electronics and communication engineering,2013,330000,University college of ENGG
Delhi,information technology,2014,325000,KLEF hydrabad
Delhi,computer application,2012,100000,VIT vellore
Delhi,information technology,2013,500000,KLEF hydrabad
Delhi,computer science & engineering,2012,550000,VIT vellore
Delhi,information technology,2014,100000,IIT jodhpur
Delhi,information technology,2011,340000,BMS college of ENGG
Delhi,computer science & engineering,2013,350000,IIT bhilai
Delhi,electronics and communication engineering,2013,340000,MNIT jaipur
Delhi,electronics and communication engineering,2010,1200000,IIT palakkad
Delhi,electronics and communication engineering,2012,250000,IIT tirupati
Delhi,computer engineering,2012,400000,KLEF hydrabad
Delhi,electronics and communication engineering,2012,360000,VIT vellore
Delhi,computer science & engineering,2014,325000,Ahemedabad IT
Delhi,computer science & engineering,2013,240000,University college of ENGG
Delhi,electronics and communication engineering,2011,400000,KLEF hydrabad
Delhi,computer engineering,2012,880000,VIT vellore
Delhi,computer engineering,2013,325000,KLEF hydrabad
Delhi,computer engineering,2012,420000,VIT vellore
Delhi,computer engineering,2013,360000,Ahemedabad IT
Delhi,computer application,2014,350000,University college of ENGG
Delhi,computer science & engineering,2014,275000,KLEF hydrabad
Delhi,computer engineering,2012,200000,VIT vellore
Delhi,information technology,2013,450000,Ahemedabad IT
Delhi,electronics and communication engineering,2013,350000,IIT jodhpur
Delhi,computer science & engineering,2014,325000,BMS college of ENGG
Delhi,information technology,2012,350000,IIT bhilai
Delhi,electronics and electrical engineering,2014,325000,MNIT jaipur
Delhi,electronics and communication engineering,2010,730000,IIT palakkad
Delhi,electronics and communication engineering,2013,310000,IIT tirupati
Delhi,electronics and communication engineering,2011,350000,KLEF hydrabad
Delhi,computer science & engineering,2013,350000,VIT vellore
Delhi,computer science & engineering,2014,325000,Ahemedabad IT
Delhi,computer science & engineering,2013,420000,University college of ENGG
Delhi,computer engineering,2013,400000,KLEF hydrabad
Delhi,computer engineering,2013,265000,VIT vellore
Delhi,computer engineering,2012,520000,KLEF hydrabad
